"scenario","method","m","n","rank","sparsity","time_sec","reconstruction_error","L_error","S_error","L_correlation","S_correlation","nuclear_ratio","sparsity_recovered","success"
"small","rpca_current",40,30,3,0.1,0.840297937393188,2.27369947174584e-07,0.009567894190297,0.0608861663243669,0.999968294405382,0.998152765588498,0.999189079595545,0.401666666666667,TRUE
"small","admm",40,30,3,0.1,0.130236864089966,1.65207024565732e-07,0.00956780854604374,0.0608857937413694,0.999968295105275,0.998152787379155,0.999189021662098,0.401666666666667,TRUE
"small","rsvd_optimized",40,30,3,0.1,0.01888108253479,9.06211345947951e-10,0.0562889044311289,0.35221855366522,0.998758080069877,0.942535150727855,0.97532838648106,0.286666666666667,TRUE
"medium","rpca_current",60,50,4,0.15,2.11244201660156,9.9935612485056e-08,0.0153994290819375,0.0888366628064015,0.999897876158034,0.996064330176872,0.999956226649759,0.405333333333333,TRUE
"medium","admm",60,50,4,0.15,0.350100040435791,9.93296423822341e-08,0.0153993445574265,0.0888361913989711,0.999897877433313,0.996064372654664,0.999956216775139,0.405333333333333,TRUE
"medium","rsvd_optimized",60,50,4,0.15,0.0521831512451172,9.9287834005589e-10,0.0302562476611156,0.172925460860395,0.999605640916393,0.985023817376011,0.992670513206717,0.313,TRUE
"large","rpca_current",100,80,6,0.1,7.22721195220947,9.99334463733908e-08,0.00310115865825901,0.0278318752521738,0.999995989975031,0.999627720479017,1.00276418471331,0.409625,TRUE
"large","admm",100,80,6,0.1,1.27188110351562,9.91665605484656e-08,0.00310116328532019,0.027831966279396,0.99999598997051,0.999627717600463,1.00276414695591,0.409375,TRUE
"large","rsvd_optimized",100,80,6,0.1,0.14123797416687,9.35831216619915e-10,0.00288184888548785,0.0273986267996622,0.999996562789514,0.999635197328124,1.00229969641037,0.319125,TRUE
"sparse","rpca_current",50,40,3,0.05,1.29987192153931,9.99498193413017e-08,0.00530420692849909,0.0404118947853683,0.999988693965466,0.999190816726215,1.00381959816922,0.393,TRUE
"sparse","admm",50,40,3,0.05,0.304595947265625,1.01371367438647e-07,0.00530419336300055,0.040411851580756,0.999988694040713,0.999190818386363,1.00381958242886,0.393,TRUE
"sparse","rsvd_optimized",50,40,3,0.05,0.0361437797546387,7.91198262850725e-10,0.0123724825522118,0.0855948330293416,0.99993305849575,0.99633125198808,1.00087564963996,0.3125,TRUE
"dense","rpca_current",50,40,3,0.25,1.41621804237366,9.99870412701068e-08,0.0138819295259992,0.0565935848502568,0.999915686448588,0.998448153830752,1.00438364149779,0.392,TRUE
"dense","admm",50,40,3,0.25,0.195620059967041,9.9867842780079e-08,0.0138819225408622,0.0565935107749136,0.999915686232765,0.998448157928682,1.00438360792706,0.392,TRUE
"dense","rsvd_optimized",50,40,3,0.25,0.0346858501434326,9.55932783553341e-10,0.0183991320001451,0.0743537173851501,0.99985692024015,0.997255136887374,1.00095824899118,0.299,TRUE
"low_rank","rpca_current",60,50,2,0.1,1.62259888648987,9.98662778200243e-08,0.00449018271529988,0.0262156385862561,0.99999101449605,0.999661722917092,1.00866701679181,0.394333333333333,TRUE
"low_rank","admm",60,50,2,0.1,0.375056982040405,9.97326079108894e-08,0.00449017959079279,0.0262156513282019,0.999991014521848,0.999661722495625,1.00866697544353,0.394333333333333,TRUE
"low_rank","rsvd_optimized",60,50,2,0.1,0.105869054794312,9.85502939000482e-10,0.00670755871547559,0.0372790946347881,0.999982548166073,0.99930496896431,1.00577953491566,0.313,TRUE
"high_rank","rpca_current",60,50,10,0.1,2.61833000183105,4.95098571290832e-07,0.00801724888278089,0.0920013770167475,0.999977772572609,0.995793116211815,0.996781863751971,0.461,TRUE
"high_rank","admm",60,50,10,0.1,0.330731868743896,9.98948328781738e-08,0.0080173326572698,0.0920029184170868,0.999977772148332,0.995792979684799,0.996781952780022,0.460666666666667,TRUE
"high_rank","rsvd_optimized",60,50,10,0.1,0.0350949764251709,9.72883372164528e-10,0.108419283547567,1.23339647769336,0.996039230553902,0.577172516074988,0.935705491889218,0.282,TRUE
"rectangular_wide","rpca_current",40,80,4,0.1,1.73417401313782,9.99284417436307e-08,0.0049156253770208,0.0328812509085656,0.999991997216247,0.999470436110591,1.00050545914348,0.3253125,TRUE
"rectangular_wide","admm",40,80,4,0.1,0.395478963851929,9.98562985515831e-08,0.00491564105928946,0.0328812823786731,0.999991997177259,0.999470435036934,1.00050545722573,0.3253125,TRUE
"rectangular_wide","rsvd_optimized",40,80,4,0.1,0.0479819774627686,8.84122290725258e-10,0.0747620668314328,0.424855894527239,0.997552082514115,0.919572340800571,0.974309856101282,0.213125,TRUE
"rectangular_tall","rpca_current",80,40,4,0.1,2.13089108467102,9.98838448767687e-08,0.00448991495006178,0.0323970759314963,0.999993157005234,0.999483094458212,1.00079301224595,0.3290625,TRUE
"rectangular_tall","admm",80,40,4,0.1,0.471219062805176,9.97678489509551e-08,0.00448989992611845,0.0323969687380193,0.999993157091067,0.999483097644689,1.0007929964116,0.3290625,TRUE
"rectangular_tall","rsvd_optimized",80,40,4,0.1,0.0525321960449219,9.5906439345779e-10,0.0445990685275132,0.269663645686448,0.999146465659907,0.964565423563872,0.985246532238549,0.2171875,TRUE
